Sim,TempRead,TempControl,HumidRead,HumidControl
1,3.0,22.768895078922935,30.0,57.95769230769231
2,-1.0,22.768895078922935,45.0,56.59015001618388
3,-3.0,22.768895078922935,60.0,50.48990686010111
4,-4.0,22.768895078922935,75.0,49.560420061560755
5,-5.0,22.768895078922935,80.0,49.560420061560755
6,-1.0,22.768895078922935,65.0,49.60906815540362
7,5.0,22.768895078922935,35.0,57.95769230769231
8,8.0,22.768895078922935,30.0,57.95769230769231
9,5.0,22.768895078922935,40.0,57.95769230769231
10,0.0,22.768895078922935,70.0,49.560420061560755
11,-2.0,22.768895078922935,85.0,49.560420061560755
12,-3.0,22.768895078922935,90.0,49.560420061560755
13,-3.0,22.768895078922935,95.0,49.560420061560755
14,0.0,22.768895078922935,85.0,49.560420061560755
15,8.0,22.768895078922935,45.0,56.71052892687298
16,11.0,22.768895078922935,30.0,57.95769230769231
17,8.0,22.768895078922935,40.0,57.86142821612395
18,2.0,22.768895078922935,65.0,49.58655585684816
19,-1.0,22.768895078922935,80.0,49.560420061560755
20,-2.0,22.768895078922935,85.0,49.560420061560755
21,-3.0,22.768895078922935,90.0,49.560420061560755
22,2.0,22.768895078922935,75.0,49.560420061560755
23,9.0,22.768895078922935,55.0,51.604649721071816
24,11.0,22.768895078922935,50.0,53.81465341565065
25,9.0,22.768895078922935,60.0,50.44065403384497
26,5.0,22.768895078922935,85.0,49.560420061560755
27,4.0,22.768895078922935,90.0,49.560420061560755
28,3.0,22.768895078922935,95.0,49.560420061560755
29,4.0,22.768895078922935,100.0,49.560420061560755
30,5.0,22.768895078922935,100.0,49.560420061560755
31,7.0,22.768895078922935,85.0,49.560420061560755
32,8.0,22.768895078922935,45.0,56.574746571213495
33,6.0,22.768895078922935,45.0,56.67011385775376
34,3.0,22.768895078922935,55.0,51.56198000276541
35,1.0,22.768895078922935,60.0,50.45849462317029
36,-1.0,22.768895078922935,60.0,50.51681274507634
37,-3.0,22.768895078922935,55.0,51.58306887205844
38,0.0,22.768895078922935,45.0,56.701499465061254
