Sim,TempRead,TempControl,HumidRead,HumidControl
1,3.0,22.768895078922935,30.0,57.95769230769231
2,-1.0,22.768895078922935,45.0,56.657394298568235
3,-3.0,22.768895078922935,60.0,50.4729271436695
4,-4.0,22.768895078922935,75.0,49.560420061560755
5,-5.0,22.768895078922935,80.0,49.560420061560755
6,-1.0,22.768895078922935,65.0,49.560420061560755
7,5.0,22.768895078922935,35.0,57.95769230769231
8,8.0,22.768895078922935,30.0,57.95769230769231
9,5.0,22.768895078922935,40.0,57.95769230769231
10,0.0,22.768895078922935,70.0,49.560420061560755
11,-2.0,22.768895078922935,85.0,49.560420061560755
12,-3.0,22.768895078922935,90.0,49.560420061560755
13,-3.0,22.768895078922935,95.0,49.560420061560755
14,0.0,22.768895078922935,85.0,49.560420061560755
15,8.0,22.768895078922935,45.0,56.66011763327397
16,11.0,22.768895078922935,30.0,57.95769230769231
17,8.0,22.768895078922935,40.0,57.95261467332078
18,2.0,22.768895078922935,65.0,49.572362925129966
19,-1.0,22.768895078922935,80.0,49.560420061560755
20,-2.0,22.768895078922935,85.0,49.560420061560755
21,-3.0,22.768895078922935,90.0,49.560420061560755
22,2.0,22.768895078922935,75.0,49.560420061560755
23,9.0,22.768895078922935,55.0,51.578976569109805
24,11.0,22.768895078922935,50.0,54.012700663809866
25,9.0,22.768895078922935,60.0,50.44413414145558
26,5.0,22.768895078922935,85.0,49.560420061560755
27,4.0,22.768895078922935,90.0,49.560420061560755
28,3.0,22.768895078922935,95.0,49.560420061560755
29,4.0,22.768895078922935,100.0,49.560420061560755
30,5.0,22.768895078922935,100.0,49.560420061560755
31,7.0,22.768895078922935,85.0,49.560420061560755
32,8.0,22.768895078922935,45.0,56.63277990821472
33,6.0,22.768895078922935,45.0,56.58181601248863
34,3.0,22.768895078922935,55.0,51.55892221945421
35,1.0,22.768895078922935,60.0,50.456018516385754
36,-1.0,22.768895078922935,60.0,50.48958847112624
37,-3.0,22.768895078922935,55.0,51.51093433138266
38,0.0,22.768895078922935,45.0,56.5616669140848
39,4.0,22.768895078922935,30.0,57.95769230769231
40,5.0,22.768895078922935,30.0,57.95769230769231
41,3.0,22.768895078922935,35.0,57.95769230769231
42,0.0,22.768895078922935,55.0,51.61461271986796
43,-2.0,22.768895078922935,75.0,49.560420061560755
44,-1.0,22.768895078922935,60.0,50.50489029068384
45,-3.0,22.768895078922935,55.0,51.58477509598664
46,0.0,22.768895078922935,45.0,56.65610863003276
47,4.0,22.768895078922935,30.0,57.95769230769231
48,18.0,22.768895078922935,40.0,57.864505235702325
49,15.0,22.768895078922935,55.0,51.54096741464336
50,12.0,22.768895078922935,70.0,49.560420061560755
51,10.0,22.768895078922935,80.0,49.560420061560755
52,10.0,22.768895078922935,90.0,49.560420061560755
53,10.0,22.768895078922935,95.0,49.560420061560755
54,10.0,22.768895078922935,95.0,49.560420061560755
55,13.0,22.768895078922935,70.0,49.560420061560755
56,17.0,22.768895078922935,55.0,51.55327024701686
57,14.0,22.768895078922935,65.0,49.560420061560755
58,8.0,22.768895078922935,85.0,49.560420061560755
59,6.0,22.768895078922935,95.0,49.560420061560755
60,5.0,22.768895078922935,95.0,49.560420061560755
61,4.0,22.768895078922935,100.0,49.560420061560755
62,7.0,22.768895078922935,95.0,49.560420061560755
63,17.0,22.768895078922935,45.0,56.70720113852445
64,22.0,21.818610887552882,35.0,57.95769230769231
65,18.0,22.768895078922935,45.0,56.60608068022365
66,12.0,22.768895078922935,60.0,50.469563778524524
67,10.0,22.768895078922935,75.0,49.560420061560755
68,8.0,22.768895078922935,80.0,49.560420061560755
69,7.0,22.768895078922935,85.0,49.560420061560755
70,13.0,22.768895078922935,70.0,49.560420061560755
71,21.0,22.768895078922935,40.0,57.95769230769231
72,23.0,21.305435005021288,30.0,57.95769230769231
73,18.0,22.768895078922935,40.0,57.95769230769231
74,12.0,22.768895078922935,65.0,49.560420061560755
75,9.0,22.768895078922935,75.0,49.560420061560755
76,9.0,22.768895078922935,80.0,49.560420061560755
77,9.0,22.768895078922935,90.0,49.560420061560755
78,11.0,22.768895078922935,90.0,49.560420061560755
79,9.0,22.768895078922935,85.0,49.560420061560755
80,6.0,22.768895078922935,90.0,49.560420061560755
81,5.0,22.768895078922935,80.0,49.560420061560755
82,2.0,22.768895078922935,80.0,49.560420061560755
83,-0.0,22.768895078922935,70.0,49.560420061560755
84,-1.0,22.768895078922935,50.0,53.94796996328566
85,-2.0,22.768895078922935,50.0,53.74755082125679
86,1.0,22.768895078922935,40.0,57.86858994137422
87,4.0,22.768895078922935,30.0,57.95769230769231
88,6.0,22.768895078922935,30.0,57.95769230769231
89,4.0,22.768895078922935,35.0,57.95769230769231
90,1.0,22.768895078922935,60.0,50.50808817858238
91,-0.0,22.768895078922935,65.0,49.607362086000485
92,-1.0,22.768895078922935,70.0,49.560420061560755
93,-1.0,22.768895078922935,70.0,49.560420061560755
94,5.0,22.768895078922935,50.0,53.9509979143347
95,13.0,22.768895078922935,30.0,57.95769230769231
96,15.0,22.768895078922935,25.0,57.95769230769231
97,13.0,22.768895078922935,40.0,57.93511032264903
98,8.0,22.768895078922935,65.0,49.560420061560755
99,6.0,22.768895078922935,70.0,49.560420061560755
100,6.0,22.768895078922935,90.0,49.560420061560755
101,7.0,22.768895078922935,90.0,49.560420061560755
102,11.0,22.768895078922935,75.0,49.560420061560755
103,15.0,22.768895078922935,55.0,51.60788854182707
104,14.0,22.768895078922935,65.0,49.560420061560755
105,10.0,22.768895078922935,60.0,50.49100154635342
106,6.0,22.768895078922935,55.0,51.58700722595815
107,3.0,22.768895078922935,50.0,53.69255932984447
108,1.0,22.768895078922935,55.0,51.64495219502703
109,-1.0,22.768895078922935,65.0,49.560420061560755
110,4.0,22.768895078922935,45.0,56.65883998258449
111,10.0,22.768895078922935,20.0,57.95769230769231
112,11.0,22.768895078922935,20.0,57.95769230769231
113,8.0,22.768895078922935,25.0,57.95769230769231
114,4.0,22.768895078922935,45.0,56.68928603568663
115,2.0,22.768895078922935,55.0,51.59434570641499
116,1.0,22.768895078922935,55.0,51.52388376552606
117,-0.0,22.768895078922935,60.0,50.50634817473301
118,4.0,22.768895078922935,50.0,53.98629202544951
119,10.0,22.768895078922935,25.0,57.95769230769231
120,14.0,22.768895078922935,20.0,57.95769230769231
121,12.0,22.768895078922935,30.0,57.95769230769231
122,7.0,22.768895078922935,50.0,53.80947681074357
